date,rule_id,feed_code,run_seq,units_checked,units_failed,minutes_late
2026-04-01,R-001,POS,1,2210226,0,
2026-04-01,R-002,POS,1,4,0,0
2026-04-01,R-003,POS,1,2210226,0,
2026-04-01,R-004,POS,1,16789072,0,
2026-04-01,R-005,POS,1,2210226,0,
2026-04-01,R-006,POS,1,2210226,0,
2026-04-01,R-007,ECOM,1,140064,0,
2026-04-01,R-008,ECOM,1,140064,0,
2026-04-01,R-009,ECOM,1,140064,0,
2026-04-01,R-010,GL,1,91773,0,
2026-04-01,R-011,GL,1,91773,0,
2026-04-01,R-012,GL,1,1,0,0
2026-04-01,R-013,LOY,1,1841474,0,
2026-04-01,R-014,LOY,1,1841474,3491,
2026-04-01,R-015,LOY,1,1841474,0,
2026-04-01,R-016,ECOM,1,987073,0,
2026-04-01,R-017,EDI,1,3,0,0
2026-04-01,R-018,EDI,1,8394,0,
2026-04-01,R-019,EDI,1,8394,0,
2026-04-01,R-020,EDI,1,8394,0,
2026-04-01,R-022,EDI,1,1505354,0,
2026-04-01,R-023,ECOM,1,1,0,0
2026-04-01,R-024,GL,1,91773,0,
2026-04-01,R-025,GL,1,91773,0,
2026-04-01,R-026,GL,1,40934184,0,
2026-04-01,R-027,LOG,1,30538,0,
2026-04-01,R-028,LOG,1,2,0,0
2026-04-01,R-029,LOG,1,30538,0,
2026-04-01,R-030,LOG,1,30538,0,
2026-04-01,R-031,LOG,1,30538,0,
2026-04-01,R-032,LOY,1,1,0,0
2026-04-01,R-033,LOY,1,1841474,0,
2026-04-01,R-034,LOY,1,1841474,0,
2026-04-01,R-035,PRD,1,83780,0,
2026-04-01,R-036,PRD,1,1,0,0
2026-04-01,R-037,PRD,1,83780,0,
2026-04-01,R-038,PRD,1,83780,0,
2026-04-01,R-039,PRD,1,83780,0,
2026-04-01,R-040,STO,1,641,0,
2026-04-01,R-041,STO,1,1,0,0
2026-04-01,R-042,STO,1,641,0,
2026-04-01,R-043,STO,1,641,0,
2026-04-01,R-044,STO,1,641,0,
2026-04-01,R-045,ECOM,1,140064,0,
2026-04-01,R-046,ECOM,1,140064,0,
2026-04-01,R-047,EDI,1,8394,0,
2026-04-01,R-048,POS,1,2210226,0,
2026-04-02,R-001,POS,1,2287932,0,
2026-04-02,R-002,POS,1,4,0,0
2026-04-02,R-003,POS,1,2287932,0,
2026-04-02,R-004,POS,1,17552622,0,
2026-04-02,R-005,POS,1,2287932,0,
2026-04-02,R-006,POS,1,2287932,0,
2026-04-02,R-007,ECOM,1,141370,0,
2026-04-02,R-008,ECOM,1,141370,0,
2026-04-02,R-009,ECOM,1,141370,0,
2026-04-02,R-010,GL,1,92019,0,
2026-04-02,R-011,GL,1,92019,0,
2026-04-02,R-012,GL,1,1,0,0
2026-04-02,R-013,LOY,1,1841861,0,
2026-04-02,R-014,LOY,1,1841861,3693,
2026-04-02,R-015,LOY,1,1841861,0,
2026-04-02,R-016,ECOM,1,1005178,0,
2026-04-02,R-017,EDI,1,3,0,0
2026-04-02,R-018,EDI,1,8645,0,
2026-04-02,R-019,EDI,1,8645,0,
2026-04-02,R-020,EDI,1,8645,0,
2026-04-02,R-022,EDI,1,1545223,0,
2026-04-02,R-023,ECOM,1,1,0,0
2026-04-02,R-024,GL,1,92019,0,
2026-04-02,R-025,GL,1,92019,0,
2026-04-02,R-026,GL,1,41095820,0,
2026-04-02,R-027,LOG,1,30984,0,
