date,feed_code,source_rows,warehouse_rows,source_amount,warehouse_amount,files_expected,files_received,arrival_time_raw
2026-04-01,POS,2210226,2210226,16789072,16789072,4,4,03:42
2026-04-01,ECOM,140064,140064,987073,987073,1,1,04:14
2026-04-01,GL,91773,91773,40934184,40934184,1,1,02:41
2026-04-01,EDI,8394,8394,1505354,1505354,3,3,04:32
2026-04-01,LOG,30538,30538,,,2,2,04:52
2026-04-01,LOY,1841474,1841474,,,1,1,03:26
2026-04-01,PRD,83780,83780,,,1,1,02:58
2026-04-01,STO,641,641,,,1,1,03:01
2026-04-02,POS,2287932,2287932,17552622,17552622,4,4,03:57
2026-04-02,ECOM,141370,141370,1005178,1005178,1,1,04:02
2026-04-02,GL,92019,92019,41095820,41095820,1,1,02:25
2026-04-02,EDI,8645,8645,1545223,1545223,3,3,04:37
2026-04-02,LOG,30984,30984,,,2,2,04:44:40
2026-04-02,LOY,1841861,1841861,,,1,1,03:14
2026-04-02,PRD,83791,83791,,,1,1,02:48
2026-04-02,STO,641,641,,,1,1,03:00
2026-04-03,POS,2519658,2519658,19192559,19192559,4,4,03:47
2026-04-03,ECOM,144522,144522,1017753,1017753,1,1,04:01
2026-04-03,GL,95856,95856,42582475,42582475,1,1,02:31
2026-04-03,EDI,8711,8711,1550991,1550991,3,3,04:28
2026-04-03,LOG,30859,30859,,,2,2,4:52
2026-04-03,LOY,1842151,1842151,,,1,1,03:13
2026-04-03,PRD,83801,83801,,,1,1,02:49
2026-04-03,STO,641,641,,,1,1,02:54
2026-04-04,POS,2808997,2808997,21531354,21531354,4,4,03:58
2026-04-04,ECOM,132502,132502,943082,943082,1,1,04:06
2026-04-04,EDI,7945,7945,1412448,1412448,3,3,05:09
2026-04-04,LOG,28305,28305,,,2,2,04:50
2026-04-04,LOY,1842550,1842550,,,1,1,03:31
2026-04-04,PRD,83802,83802,,,1,1,02:56
2026-04-04,STO,641,641,,,1,1,02:55
2026-04-05,POS,2433636,2433636,18492181,18492181,4,4,03:50
2026-04-05,ECOM,145916,145916,1035316,1035316,1,1,04:07
2026-04-05,LOG,21595,21595,,,2,2,04:34:21
2026-04-05,LOY,1842852,1842852,,,1,1,03:24
2026-04-05,PRD,83805,83805,,,1,1,03:03
2026-04-05,STO,641,641,,,1,1,02:59
2026-04-06,POS,2262400,2262400,17283153,17283153,4,4,03:53
2026-04-06,ECOM,156077,156077,1103828,1103828,1,1,04:12
2026-04-06,GL,91117,91117,40684792,40684792,1,1,02:27
2026-04-06,EDI,9911,9911,1775178,1775178,3,3,04:37
2026-04-06,LOG,31097,31097,,,2,2,4:53
2026-04-06,LOY,1843163,1843163,,,1,1,03:25
2026-04-06,PRD,83807,83807,,,1,1,03:02
2026-04-06,STO,641,641,,,1,1,02:50
2026-04-07,POS,2124770,2124770,16328420,16328420,4,4,03:47
2026-04-07,ECOM,141529,141529,1005860,1005860,1,1,04:17
2026-04-07,GL,90543,90543,40416901,40416901,1,1,02:42
2026-04-07,EDI,8628,8628,1532637,1532637,3,3,04:40
2026-04-07,LOG,31274,31274,,,2,2,04:38
2026-04-07,LOY,1843539,1843539,,,1,1,03:10
2026-04-07,PRD,83815,83815,,,1,1,02:46
2026-04-07,STO,641,641,,,1,1,03:05
2026-04-08,POS,2233349,2233349,17019716,17019716,4,4,03:51
2026-04-08,ECOM,136259,136259,970338,970338,1,1,04:12
2026-04-08,GL,89069,89069,39630646,39630646,1,1,02:24
2026-04-08,EDI,8373,8373,1489387,1489387,3,3,04:41
2026-04-08,LOG,30166,30166,,,2,2,04:45:10
