month_key,month,month_start,quarter,year,financial_period
202501,Jan 2025,2025-01-01,Q1,2025,P01 2025
202502,Feb 2025,2025-02-01,Q1,2025,P02 2025
202503,Mar 2025,2025-03-01,Q1,2025,P03 2025
202504,Apr 2025,2025-04-01,Q2,2025,P04 2025
202505,May 2025,2025-05-01,Q2,2025,P05 2025
202506,Jun 2025,2025-06-01,Q2,2025,P06 2025
202507,Jul 2025,2025-07-01,Q3,2025,P07 2025
202508,Aug 2025,2025-08-01,Q3,2025,P08 2025
202509,Sept 2025,2025-09-01,Q3,2025,P09 2025
202510,Oct 2025,2025-10-01,Q4,2025,P10 2025
202511,Nov 2025,2025-11-01,Q4,2025,P11 2025
202512,Dec 2025,2025-12-01,Q4,2025,P12 2025
202601,Jan 2026,2026-01-01,Q1,2026,P01 2026
202602,Feb 2026,2026-02-01,Q1,2026,P02 2026
202603,Mar 2026,2026-03-01,Q1,2026,P03 2026
202604,Apr 2026,2026-04-01,Q2,2026,P04 2026
202605,May 2026,2026-05-01,Q2,2026,P05 2026
202606,Jun 2026,2026-06-01,Q2,2026,P06 2026
