month_key,scenario,entity,service_line,account_code,client,amount
202501,Actual,MSL,Managed Services,REV-MAN,Peverel Group,611443
202501,Actual,MSL,Managed Services,DC-STAFF,Peverel Group,-249457
202501,Actual,MSL,Managed Services,DC-SUBS,Peverel Group,-72149
202501,Actual,MSL,Managed Services,DC-EXP,Peverel Group,-18718
202501,Actual,MSL,Managed Services,REV-MAN,Castleton Retail,496797
202501,Actual,MSL,Managed Services,DC-STAFF,Castleton Retail,-209967
202501,Actual,MSL,Managed Services,DC-SUBS,Castleton Retail,-60727
202501,Actual,MSL,Managed Services,DC-EXP,Castleton Retail,-15755
202501,Actual,MSL,Managed Services,REV-MAN,Trentham Group ,286614
202501,Actual,MSL,Managed Services,DC-STAFF,Trentham Group,-123236
202501,Actual,MSL,Managed Services,DC-SUBS,Trentham Group,-35642
202501,Actual,MSL,Managed Services,DC-EXP,Trentham Group,-9247
202501,Actual,MSL,Managed Services,REV-MAN,Nyle Distribution,171968
202501,Actual,MSL,Managed Services,DC-STAFF,Nyle Distribution,-89068
202501,Actual,MSL,Managed Services,DC-SUBS,Nyle Distribution,-25760
202501,Actual,MSL,Managed Services,DC-EXP,Nyle Distribution,-6683
202501,Actual,MSL,Managed Services,REV-MAN,Ashfield Care,114645
202501,Actual,MSL,Managed Services,DC-STAFF,Ashfield Care,-55177
202501,Actual,MSL,Managed Services,DC-SUBS,Ashfield Care,-15958
202501,Actual,MSL,Managed Services,DC-EXP,Ashfield Care,-4140
202501,Actual,LLP,Advisory,REV-ADV,Oakline Foods,396482
202501,Actual,LLP,Advisory,DC-STAFF,Oakline Foods,-204531
202501,Actual,LLP,Advisory,DC-SUBS,Oakline Foods,-59155
202501,Actual,LLP,Advisory,DC-EXP,Oakline Foods,-15347
202501,Actual,LLP,Advisory,REV-ADV,Bramwell Media,343936
202501,Actual,LLP,Advisory,DC-STAFF,Bramwell Media,-132046
202501,Actual,LLP,Advisory,DC-SUBS,Bramwell Media,-38191
202501,Actual,LLP,Advisory,DC-EXP,Bramwell Media,-9908
202501,Actual,LLP,Advisory,REV-ADV,Marrow Klein,224514
202501,Actual,LLP,Advisory,DC-STAFF,Marrow Klein,-81259
202501,Actual,LLP,Advisory,DC-SUBS,Marrow Klein,-23502
202501,Actual,LLP,Advisory,DC-EXP,Marrow Klein,-6097
202501,Actual,LLP,Advisory,REV-ADV,Vantis Retail,162414
202501,Actual,LLP,Advisory,DC-STAFF,Vantis Retail,-61164
202501,Actual,LLP,Advisory,DC-SUBS,Vantis Retail,-17690
202501,Actual,LLP,Advisory,DC-EXP,Vantis Retail,-4589
202501,Actual,PRJ,Projects,REV-PRJ,Harding & Co,449028
202501,Actual,PRJ,Projects,DC-STAFF,Harding & Co,-221521
202501,Actual,PRJ,Projects,DC-SUBS,Harding & Co,-64069
202501,Actual,PRJ,Projects,DC-EXP,Harding & Co,-16622
202501,Actual,PRJ,Projects,REV-PRJ,Delphi Works,229291
202501,Actual,PRJ,Projects,DC-STAFF,Delphi Works,-118159
202501,Actual,PRJ,Projects,DC-SUBS,Delphi Works,-34174
202501,Actual,PRJ,Projects,DC-EXP,Delphi Works,-8866
202501,Actual,PRJ,Projects,REV-PRJ,Corven Group,171968
202501,Actual,PRJ,Projects,DC-STAFF,Corven Group,-86098
202501,Actual,PRJ,Projects,DC-SUBS,Corven Group,-24902
202501,Actual,PRJ,Projects,DC-EXP,Corven Group,-6460
202501,Actual,LLP,Support,REV-SUP,Kelby Foods,143307
202501,Actual,LLP,Support,DC-STAFF,Kelby Foods,-73431
202501,Actual,LLP,Support,DC-SUBS,Kelby Foods,-21238
202501,Actual,LLP,Support,DC-EXP,Kelby Foods,-5510
202501,Actual,LLP,Support,REV-SUP,Ashfield Care,105092
202501,Actual,LLP,Support,DC-STAFF,Ashfield Care,-54619
202501,Actual,LLP,Support,DC-SUBS,Ashfield Care,-15797
202501,Actual,LLP,Support,DC-EXP,Ashfield Care,-4098
202501,Actual,LLP,Support,REV-SUP,Nyle Distribution,95538
202501,Actual,LLP,Support,DC-STAFF,Nyle Distribution,-53155
202501,Actual,LLP,Support,DC-SUBS,Nyle Distribution,-15374
202501,Actual,LLP,Support,DC-EXP,Nyle Distribution,-3988
202501,Actual,LLP,Support,REV-SUP,Castleton Retail,86939
202501,Actual,LLP,Support,DC-STAFF,Castleton Retail,-40087
202501,Actual,LLP,Support,DC-SUBS,Castleton Retail,-11594
202501,Actual,LLP,Support,DC-EXP,Castleton Retail,-3008
202501,Actual,LLP,Central,OH-ADMIN,,-267506
202501,Actual,MSL,Central,OH-ADMIN,,-160504
202501,Actual,PRJ,Central,OH-ADMIN,,-107002
202501,Actual,LLP,Central,OH-PREM,,-85984
202501,Actual,MSL,Central,OH-PREM,,-51590
202501,Actual,PRJ,Central,OH-PREM,,-34394
202501,Actual,LLP,Central,OH-TECH,,-69265
202501,Actual,MSL,Central,OH-TECH,,-41559
202501,Actual,PRJ,Central,OH-TECH,,-27706
202501,Actual,LLP,Central,OH-MKT,,-28661
202501,Actual,MSL,Central,OH-MKT,,-17197
202501,Actual,PRJ,Central,OH-MKT,,-11465
202501,Actual,LLP,Central,OH-PROF,,-14331
202501,Actual,MSL,Central,OH-PROF,,-8598
202501,Actual,PRJ,Central,OH-PROF,,-5732
202501,Actual,LLP,Central,OH-DEP,,-11942
202501,Actual,MSL,Central,OH-DEP,,-7165
202501,Actual,PRJ,Central,OH-DEP,,-4777
202501,Actual,LLP,Central,OH-OTHER,,-10987
202501,Actual,MSL,Central,OH-OTHER,,-6592
202501,Actual,PRJ,Central,OH-OTHER,,-4395
202501,Budget,MSL,Managed Services,REV-MAN,Peverel Group,656364
202501,Budget,MSL,Managed Services,DC-STAFF,Peverel Group,-263082
202501,Budget,MSL,Managed Services,DC-SUBS,Peverel Group,-76089
202501,Budget,MSL,Managed Services,DC-EXP,Peverel Group,-19740
202501,Budget,MSL,Managed Services,REV-MAN,Castleton Retail,533295
202501,Budget,MSL,Managed Services,DC-STAFF,Castleton Retail,-221572
202501,Budget,MSL,Managed Services,DC-SUBS,Castleton Retail,-64084
202501,Budget,MSL,Managed Services,DC-EXP,Castleton Retail,-16625
202501,Budget,MSL,Managed Services,REV-MAN,Trentham Group,307670
202501,Budget,MSL,Managed Services,DC-STAFF,Trentham Group,-130085
202501,Budget,MSL,Managed Services,DC-SUBS,Trentham Group,-37624
202501,Budget,MSL,Managed Services,DC-EXP,Trentham Group,-9761
202501,Budget,MSL,Managed Services,REV-MAN,Nyle Distribution,184602
202501,Budget,MSL,Managed Services,DC-STAFF,Nyle Distribution,-94289
202501,Budget,MSL,Managed Services,DC-SUBS,Nyle Distribution,-27270
202501,Budget,MSL,Managed Services,DC-EXP,Nyle Distribution,-7075
202501,Budget,MSL,Managed Services,REV-MAN,Ashfield Care,123068
202501,Budget,MSL,Managed Services,DC-STAFF,Ashfield Care,-58349
202501,Budget,MSL,Managed Services,DC-SUBS,Ashfield Care,-16876
202501,Budget,MSL,Managed Services,DC-EXP,Ashfield Care,-4378
202501,Budget,LLP,Advisory,REV-ADV,Oakline Foods,425990
202501,Budget,LLP,Advisory,DC-STAFF,Oakline Foods,-216798
202501,Budget,LLP,Advisory,DC-SUBS,Oakline Foods,-62703
202501,Budget,LLP,Advisory,DC-EXP,Oakline Foods,-16267
202501,Budget,LLP,Advisory,REV-ADV,Bramwell Media,369534
