inspection_id,inspection_date,site_id,inspector_id
SI-2025-0001,2025-01-01,20,3
SI-2025-0002,2025-01-01,1,5
SI-2025-0003,2025-01-02,20,3
SI-2025-0004,2025-01-02,6,7
SI-2025-0005,2025-01-02,15,5
SI-2025-0006,2025-01-03,7,5
SI-2025-0007,2025-01-03,39,4
SI-2025-0008,2025-01-03,36,4
SI-2025-0009,2025-01-06,18,4
SI-2025-0010,2025-01-06,17,5
SI-2025-0011,2025-01-08,3,5
SI-2025-0012,2025-01-10,25,4
SI-2025-0013,2025-01-13,39,6
SI-2025-0014,2025-01-14,28,2
SI-2025-0015,2025-01-14,24,3
SI-2025-0016,2025-01-14,9,1
SI-2025-0017,2025-01-14,36,5
SI-2025-0018,2025-01-14,5,1
SI-2025-0019,2025-01-15,40,3
SI-2025-0020,2025-01-16,38,3
SI-2025-0021,2025-01-16,38,5
SI-2025-0022,2025-01-16,26,2
SI-2025-0023,2025-01-16,16,5
SI-2025-0024,2025-01-17,25,7
SI-2025-0025,2025-01-17,34,2
SI-2025-0026,2025-01-20,11,5
SI-2025-0027,2025-01-20,12,2
SI-2025-0028,2025-01-21,28,2
SI-2025-0029,2025-01-21,11,1
SI-2025-0030,2025-01-21,8,1
SI-2025-0031,2025-01-21,34,1
SI-2025-0032,2025-01-21,16,7
SI-2025-0033,2025-01-21,27,7
SI-2025-0034,2025-01-22,19,4
SI-2025-0035,2025-01-22,18,4
SI-2025-0036,2025-01-22,26,1
SI-2025-0037,2025-01-23,6,7
SI-2025-0038,2025-01-23,1,1
SI-2025-0039,2025-01-23,15,1
SI-2025-0040,2025-01-24,29,1
SI-2025-0041,2025-01-24,5,3
SI-2025-0042,2025-01-24,35,6
SI-2025-0043,2025-01-27,13,3
SI-2025-0044,2025-01-28,13,6
SI-2025-0045,2025-01-29,14,3
SI-2025-0046,2025-01-29,24,6
SI-2025-0047,2025-01-30,22,6
SI-2025-0048,2025-01-30,22,4
SI-2025-0049,2025-01-31,19,3
SI-2025-0050,2025-01-31,9,1
SI-2025-0051,2025-01-31,2,1
SI-2025-0052,2025-01-31,35,6
SI-2025-0053,2025-02-03,19,7
SI-2025-0054,2025-02-03,31,5
SI-2025-0055,2025-02-03,11,4
SI-2025-0056,2025-02-03,24,3
SI-2025-0057,2025-02-05,24,4
SI-2025-0058,2025-02-05,36,7
SI-2025-0059,2025-02-07,35,1
SI-2025-0060,2025-02-10,22,4
SI-2025-0061,2025-02-10,12,5
SI-2025-0062,2025-02-10,3,1
SI-2025-0063,2025-02-11,38,1
SI-2025-0064,2025-02-11,4,6
SI-2025-0065,2025-02-13,37,3
SI-2025-0066,2025-02-13,41,3
SI-2025-0067,2025-02-13,21,5
SI-2025-0068,2025-02-14,16,2
SI-2025-0069,2025-02-14,36,4
SI-2025-0070,2025-02-17,30,3
SI-2025-0071,2025-02-18,23,4
SI-2025-0072,2025-02-18,15,6
SI-2025-0073,2025-02-19,18,4
SI-2025-0074,2025-02-19,39,1
SI-2025-0075,2025-02-19,26,6
SI-2025-0076,2025-02-19,26,5
SI-2025-0077,2025-02-19,9,1
SI-2025-0078,2025-02-20,37,4
SI-2025-0079,2025-02-20,41,5
SI-2025-0080,2025-02-20,1,6
SI-2025-0081,2025-02-21,38,4
SI-2025-0082,2025-02-21,17,1
SI-2025-0083,2025-02-21,23,5
SI-2025-0084,2025-02-24,32,7
SI-2025-0085,2025-02-25,10,5
SI-2025-0086,2025-02-25,25,4
SI-2025-0087,2025-02-25,17,2
SI-2025-0088,2025-02-25,42,4
SI-2025-0089,2025-02-25,35,6
SI-2025-0090,2025-02-26,19,4
SI-2025-0091,2025-02-27,7,7
SI-2025-0092,2025-02-27,7,7
SI-2025-0093,2025-02-27,5,1
SI-2025-0094,2025-02-28,14,3
SI-2025-0095,2025-02-28,1,7
SI-2025-0096,2025-02-28,16,6
SI-2025-0097,2025-02-28,9,5
SI-2025-0098,2025-02-28,21,6
SI-2025-0099,2025-03-03,6,1
SI-2025-0100,2025-03-03,28,2
SI-2025-0101,2025-03-03,19,6
SI-2025-0102,2025-03-04,20,4
SI-2025-0103,2025-03-04,7,1
SI-2025-0104,2025-03-04,33,3
SI-2025-0105,2025-03-04,4,7
SI-2025-0106,2025-03-05,3,7
SI-2025-0107,2025-03-06,33,6
SI-2025-0108,2025-03-07,4,1
SI-2025-0109,2025-03-07,23,7
SI-2025-0110,2025-03-07,23,2
SI-2025-0111,2025-03-07,2,1
SI-2025-0112,2025-03-10,22,5
SI-2025-0113,2025-03-11,31,4
SI-2025-0114,2025-03-11,5,7
SI-2025-0115,2025-03-12,20,7
SI-2025-0116,2025-03-12,8,7
SI-2025-0117,2025-03-12,32,6
SI-2025-0118,2025-03-13,39,3
SI-2025-0119,2025-03-14,28,3
SI-2025-0120,2025-03-14,5,7
SI-2025-0121,2025-03-17,22,7
SI-2025-0122,2025-03-17,37,7
SI-2025-0123,2025-03-17,1,1
SI-2025-0124,2025-03-17,35,6
SI-2025-0125,2025-03-18,13,2
SI-2025-0126,2025-03-18,11,5
SI-2025-0127,2025-03-18,1,7
SI-2025-0128,2025-03-18,21,7
SI-2025-0129,2025-03-19,31,2
SI-2025-0130,2025-03-19,35,1
SI-2025-0131,2025-03-20,34,2
SI-2025-0132,2025-03-20,27,2
SI-2025-0133,2025-03-20,36,1
SI-2025-0134,2025-03-21,7,3
SI-2025-0135,2025-03-24,11,3
SI-2025-0136,2025-03-24,16,7
SI-2025-0137,2025-03-24,40,3
SI-2025-0138,2025-03-24,17,7
SI-2025-0139,2025-03-25,6,7
SI-2025-0140,2025-03-25,25,3
SI-2025-0141,2025-03-26,25,5
SI-2025-0142,2025-03-26,40,3
SI-2025-0143,2025-03-26,21,6
SI-2025-0144,2025-03-26,36,2
SI-2025-0145,2025-03-27,17,5
SI-2025-0146,2025-03-28,19,4
SI-2025-0147,2025-03-31,14,2
SI-2025-0148,2025-03-31,37,6
SI-2025-0149,2025-04-01,19,7
SI-2025-0150,2025-04-01,8,4
SI-2025-0151,2025-04-01,24,6
SI-2025-0152,2025-04-01,3,1
SI-2025-0153,2025-04-01,15,5
SI-2025-0154,2025-04-02,28,5
SI-2025-0155,2025-04-02,24,5
SI-2025-0156,2025-04-02,33,3
SI-2025-0157,2025-04-04,20,7
SI-2025-0158,2025-04-04,11,4
SI-2025-0159,2025-04-04,23,4
SI-2025-0160,2025-04-07,27,3
SI-2025-0161,2025-04-07,40,3
SI-2025-0162,2025-04-09,14,5
SI-2025-0163,2025-04-09,10,2
SI-2025-0164,2025-04-09,21,4
SI-2025-0165,2025-04-09,3,7
SI-2025-0166,2025-04-09,36,3
SI-2025-0167,2025-04-10,5,1
SI-2025-0168,2025-04-11,11,4
SI-2025-0169,2025-04-11,4,5
SI-2025-0170,2025-04-14,30,3
SI-2025-0171,2025-04-15,14,3
SI-2025-0172,2025-04-16,29,1
SI-2025-0173,2025-04-16,7,5
SI-2025-0174,2025-04-16,23,4
SI-2025-0175,2025-04-17,7,2
SI-2025-0176,2025-04-17,17,4
SI-2025-0177,2025-04-18,18,5
SI-2025-0178,2025-04-18,1,7
SI-2025-0179,2025-04-18,36,6
SI-2025-0180,2025-04-21,29,1
SI-2025-0181,2025-04-21,20,6
SI-2025-0182,2025-04-21,33,1
SI-2025-0183,2025-04-22,25,4
SI-2025-0184,2025-04-23,1,7
SI-2025-0185,2025-04-25,2,4
SI-2025-0186,2025-04-28,4,1
SI-2025-0187,2025-04-29,21,4
SI-2025-0188,2025-04-29,35,6
SI-2025-0189,2025-04-30,13,5
SI-2025-0190,2025-04-30,30,2
SI-2025-0191,2025-04-30,17,4
SI-2025-0192,2025-05-01,14,4
SI-2025-0193,2025-05-01,33,4
SI-2025-0194,2025-05-02,19,4
SI-2025-0195,2025-05-02,39,3
SI-2025-0196,2025-05-02,5,1
SI-2025-0197,2025-05-05,41,7
SI-2025-0198,2025-05-05,21,4
SI-2025-0199,2025-05-06,25,4
SI-2025-0200,2025-05-06,16,5
SI-2025-0201,2025-05-06,4,4
SI-2025-0202,2025-05-07,38,1
SI-2025-0203,2025-05-07,11,5
SI-2025-0204,2025-05-07,11,5
SI-2025-0205,2025-05-07,12,5
SI-2025-0206,2025-05-08,16,4
SI-2025-0207,2025-05-08,42,3
SI-2025-0208,2025-05-09,13,5
SI-2025-0209,2025-05-09,31,3
SI-2025-0210,2025-05-09,1,7
SI-2025-0211,2025-05-09,3,7
SI-2025-0212,2025-05-12,22,3
SI-2025-0213,2025-05-12,15,2
SI-2025-0214,2025-05-13,40,2
SI-2025-0215,2025-05-15,20,4
SI-2025-0216,2025-05-15,19,2
SI-2025-0217,2025-05-15,40,3
SI-2025-0218,2025-05-16,22,4
SI-2025-0219,2025-05-19,24,3
SI-2025-0220,2025-05-19,9,6
SI-2025-0221,2025-05-20,28,2
SI-2025-0222,2025-05-21,29,5
SI-2025-0223,2025-05-21,31,2
SI-2025-0224,2025-05-21,30,2
SI-2025-0225,2025-05-22,17,7
SI-2025-0226,2025-05-22,15,1
SI-2025-0227,2025-05-23,29,2
SI-2025-0228,2025-05-23,14,5
SI-2025-0229,2025-05-23,41,4
SI-2025-0230,2025-05-23,1,4
SI-2025-0231,2025-05-23,24,4
SI-2025-0232,2025-05-23,33,4
SI-2025-0233,2025-05-26,27,4
SI-2025-0234,2025-05-26,5,6
SI-2025-0235,2025-05-27,20,4
SI-2025-0236,2025-05-27,26,2
SI-2025-0237,2025-05-28,17,2
SI-2025-0238,2025-05-29,38,1
SI-2025-0239,2025-05-29,28,2
SI-2025-0240,2025-05-29,26,1
SI-2025-0241,2025-05-30,25,5
SI-2025-0242,2025-06-02,28,6
SI-2025-0243,2025-06-02,21,6
SI-2025-0244,2025-06-02,17,1
SI-2025-0245,2025-06-02,23,4
SI-2025-0246,2025-06-02,15,5
SI-2025-0247,2025-06-03,22,1
SI-2025-0248,2025-06-03,6,7
SI-2025-0249,2025-06-03,34,6
SI-2025-0250,2025-06-04,8,4
SI-2025-0251,2025-06-06,1,1
SI-2025-0252,2025-06-06,4,3
SI-2025-0253,2025-06-09,33,7
SI-2025-0254,2025-06-09,16,5
SI-2025-0255,2025-06-09,27,7
SI-2025-0256,2025-06-09,40,3
SI-2025-0257,2025-06-09,9,3
SI-2025-0258,2025-06-10,7,7
SI-2025-0259,2025-06-10,4,5
SI-2025-0260,2025-06-11,8,7
SI-2025-0261,2025-06-12,31,2
SI-2025-0262,2025-06-16,19,1
SI-2025-0263,2025-06-16,37,7
SI-2025-0264,2025-06-17,14,2
SI-2025-0265,2025-06-17,41,5
SI-2025-0266,2025-06-17,16,5
SI-2025-0267,2025-06-18,19,4
SI-2025-0268,2025-06-18,39,3
SI-2025-0269,2025-06-18,9,1
SI-2025-0270,2025-06-18,36,6
SI-2025-0271,2025-06-19,13,6
SI-2025-0272,2025-06-19,31,2
SI-2025-0273,2025-06-19,5,1
SI-2025-0274,2025-06-20,28,6
SI-2025-0275,2025-06-20,32,3
SI-2025-0276,2025-06-20,12,3
SI-2025-0277,2025-06-23,34,7
SI-2025-0278,2025-06-23,42,3
SI-2025-0279,2025-06-24,14,6
SI-2025-0280,2025-06-24,5,1
SI-2025-0281,2025-06-24,35,2
SI-2025-0282,2025-06-25,11,7
SI-2025-0283,2025-06-25,1,1
SI-2025-0284,2025-06-25,21,4
SI-2025-0285,2025-06-25,36,4
SI-2025-0286,2025-06-26,6,2
SI-2025-0287,2025-06-26,39,2
SI-2025-0288,2025-06-26,3,7
SI-2025-0289,2025-06-26,15,2
SI-2025-0290,2025-06-27,41,5
SI-2025-0291,2025-06-27,3,2
SI-2025-0292,2025-06-30,33,4
SI-2025-0293,2025-07-01,6,7
SI-2025-0294,2025-07-01,19,4
SI-2025-0295,2025-07-01,24,7
SI-2025-0296,2025-07-01,17,6
SI-2025-0297,2025-07-01,2,1
SI-2025-0298,2025-07-02,15,5
SI-2025-0299,2025-07-03,38,7
SI-2025-0300,2025-07-03,28,2
SI-2025-0301,2025-07-03,33,6
SI-2025-0302,2025-07-03,35,6
SI-2025-0303,2025-07-04,19,5
SI-2025-0304,2025-07-04,30,6
SI-2025-0305,2025-07-04,34,6
SI-2025-0306,2025-07-07,9,7
SI-2025-0307,2025-07-07,4,7
SI-2025-0308,2025-07-08,22,4
SI-2025-0309,2025-07-09,14,3
SI-2025-0310,2025-07-09,1,3
SI-2025-0311,2025-07-10,31,2
SI-2025-0312,2025-07-10,24,4
SI-2025-0313,2025-07-10,5,7
SI-2025-0314,2025-07-11,14,5
SI-2025-0315,2025-07-14,41,3
SI-2025-0316,2025-07-15,27,6
SI-2025-0317,2025-07-16,8,3
SI-2025-0318,2025-07-16,2,4
SI-2025-0319,2025-07-17,5,7
SI-2025-0320,2025-07-21,29,2
SI-2025-0321,2025-07-21,7,7
SI-2025-0322,2025-07-21,10,5
SI-2025-0323,2025-07-21,37,6
SI-2025-0324,2025-07-21,37,2
SI-2025-0325,2025-07-21,1,7
SI-2025-0326,2025-07-22,15,1
SI-2025-0327,2025-07-23,33,6
SI-2025-0328,2025-07-24,13,5
SI-2025-0329,2025-07-24,11,2
SI-2025-0330,2025-07-24,17,6
SI-2025-0331,2025-07-25,11,3
SI-2025-0332,2025-07-28,38,3
SI-2025-0333,2025-07-28,31,2
SI-2025-0334,2025-07-28,18,2
SI-2025-0335,2025-07-29,8,7
SI-2025-0336,2025-07-30,22,3
SI-2025-0337,2025-07-30,28,2
SI-2025-0338,2025-07-30,39,6
SI-2025-0339,2025-07-30,9,7
