inspection_id,question_id,result,severity,inspector_note
SI-2025-0001,1,Pass,,
SI-2025-0001,2,Pass,,
SI-2025-0001,3,Pass,,
SI-2025-0001,4,Pass,,
SI-2025-0001,5,Pass,,
SI-2025-0001,6,Pass,,
SI-2025-0001,7,Pass,,
SI-2025-0001,8,Pass,,
SI-2025-0001,9,Pass,,
SI-2025-0001,10,Pass,,
SI-2025-0001,11,Fail,Low,Work bench at the north stairwell cluttered with offcuts
SI-2025-0001,12,Pass,,
SI-2025-0001,13,Pass,,
SI-2025-0001,14,Pass,,
SI-2025-0001,15,Pass,,
SI-2025-0001,16,Pass,,
SI-2025-0001,17,Pass,,
SI-2025-0001,18,Pass,,
SI-2025-0001,19,Pass,,
SI-2025-0001,20,Pass,,
SI-2025-0001,21,Pass,,
SI-2025-0001,22,Pass,,
SI-2025-0001,23,Pass,,
SI-2025-0001,24,Pass,,
SI-2025-0002,1,Pass,,
SI-2025-0002,2,Pass,,
SI-2025-0002,3,Fail,Low,Call point at level 2 blocked by stored materials
SI-2025-0002,4,Pass,,
SI-2025-0002,5,Pass,,
SI-2025-0002,6,Pass,,
SI-2025-0002,7,Pass,,
SI-2025-0002,8,Pass,,
SI-2025-0002,9,Pass,,
SI-2025-0002,10,Fail,Low,Waste bins overflowing at aisle 4
SI-2025-0002,11,Pass,,
SI-2025-0002,12,Fail,Low,Spill kit at store B missing absorbent pads
SI-2025-0002,13,Pass,,
SI-2025-0002,14,Pass,,
SI-2025-0002,15,Pass,,
SI-2025-0002,16,Fail,Medium,Welfare room at the welfare cabin without hot water
SI-2025-0002,17,Pass,,
SI-2025-0002,18,Pass,,
SI-2025-0002,19,Fail,Medium,Untagged stepladder in use at the dock office
SI-2025-0002,20,Pass,,
SI-2025-0002,21,Pass,,
SI-2025-0002,22,Pass,,
SI-2025-0002,23,Pass,,
SI-2025-0002,24,Pass,,
SI-2025-0003,1,Pass,,
SI-2025-0003,2,Fail,Medium,Extinguisher at the main workshop past its service date
SI-2025-0003,3,Pass,,
SI-2025-0003,4,Pass,,
SI-2025-0003,5,Pass,,
SI-2025-0003,6,Pass,,
SI-2025-0003,7,Pass,,
SI-2025-0003,8,Pass,,
SI-2025-0003,9,Pass,,
SI-2025-0003,10,Pass,,
SI-2025-0003,11,Pass,,
SI-2025-0003,12,Pass,,
SI-2025-0003,13,Pass,,
SI-2025-0003,14,Pass,,
SI-2025-0003,15,Pass,,
SI-2025-0003,16,Pass,,
SI-2025-0003,17,Fail,Medium,Racking tag at the mezzanine out of date
SI-2025-0003,18,Pass,,
SI-2025-0003,19,Pass,,
SI-2025-0003,20,Pass,,
SI-2025-0003,21,Pass,,
SI-2025-0003,22,Pass,,
SI-2025-0003,23,Pass,,
SI-2025-0003,24,Pass,,
SI-2025-0004,1,Pass,,
SI-2025-0004,2,Pass,,
SI-2025-0004,3,Pass,,
SI-2025-0004,4,Pass,,
SI-2025-0004,5,Pass,,
SI-2025-0004,6,Pass,,
SI-2025-0004,7,Pass,,
SI-2025-0004,8,Pass,,
SI-2025-0004,9,Pass,,
SI-2025-0004,10,Pass,,
SI-2025-0004,11,Pass,,
SI-2025-0004,12,Pass,,
SI-2025-0004,13,Pass,,
SI-2025-0004,14,Pass,,
SI-2025-0004,15,Pass,,
SI-2025-0004,16,Pass,,
SI-2025-0004,17,Pass,,
SI-2025-0004,18,Pass,,
SI-2025-0004,19,Pass,,
SI-2025-0004,20,Pass,,
SI-2025-0004,21,Pass,,
SI-2025-0004,22,Pass,,
SI-2025-0004,23,Pass,,
SI-2025-0004,24,Pass,,
SI-2025-0005,1,Fail,Low,Fire door at the north stairwell catches on frame and does not latch
SI-2025-0005,2,Pass,,
SI-2025-0005,3,Pass,,
SI-2025-0005,4,Pass,,
SI-2025-0005,5,Pass,,
SI-2025-0005,6,Pass,,
SI-2025-0005,7,Pass,,
SI-2025-0005,8,NA,,
SI-2025-0005,9,Pass,,
SI-2025-0005,10,Pass,,
SI-2025-0005,11,Pass,,
SI-2025-0005,12,Fail,Low,Spill kit at the mezzanine missing absorbent pads
SI-2025-0005,13,Pass,,
SI-2025-0005,14,Pass,,
SI-2025-0005,15,Pass,,
SI-2025-0005,16,Pass,,
SI-2025-0005,17,Pass,,
SI-2025-0005,18,Pass,,
SI-2025-0005,19,Pass,,
SI-2025-0005,20,Pass,,
SI-2025-0005,21,Pass,,
SI-2025-0005,22,Pass,,
SI-2025-0005,23,Pass,,
SI-2025-0005,24,Fail,Low,No vehicle warning signage at level 2 crossing
SI-2025-0006,1,Pass,,
SI-2025-0006,2,Pass,,
SI-2025-0006,3,Pass,,
